File Name,True Label,Predicted Label,Confidence,Correct
30 no.jpg,no,yes,0.7807268,False
31 no.jpg,no,no,0.8992663,True
32 no.jpg,no,no,0.9885994,True
33 no.jpg,no,no,0.71368456,True
34 no.jpg,no,no,0.99739033,True
35 no.jpg,no,no,0.98414594,True
WhatsApp Image 2025-06-03 at 01.09.29_305c7a32.jpg,no,no,0.99466246,True
WhatsApp Image 2025-06-03 at 01.09.29_f28315cb.jpg,no,no,0.9765827,True
WhatsApp Image 2025-06-03 at 01.09.30_7ae92975.jpg,no,no,0.9881741,True
WhatsApp Image 2025-06-03 at 01.09.31_5321fd8e.jpg,no,no,0.9377926,True
Y69.jpg,yes,yes,0.98509985,True
Y74.jpg,yes,yes,0.98480994,True
Y90.jpg,yes,no,0.9526478,False
Y91.jpg,yes,yes,0.91490144,True
Y92.jpg,yes,yes,0.95952964,True
Y92.png,yes,yes,0.96520096,True
Y95.jpg,yes,yes,0.89351755,True
