File Name,True Label,Predicted Label,Confidence,Correct
no 94.jpg,NO,NO,0.99526864,True
no 95.jpg,NO,NO,0.87885934,True
no 96.jpg,NO,NO,0.56825817,True
no 97.jpg,NO,NO,0.9950558,True
no 98.jpg,NO,NO,0.99990606,True
no 99.jpg,NO,NO,0.99281913,True
no.jpg,NO,NO,0.9134178,True
No11.jpg,NO,NO,0.9997187,True
No12.jpg,NO,NO,0.6161141,True
No13.jpg,NO,NO,0.9936168,True
No14.jpg,NO,NO,0.9990416,True
No15.jpg,NO,NO,0.9844358,True
No16.jpg,NO,NO,0.9998926,True
No17.jpg,NO,NO,0.9844358,True
No18.jpg,NO,NO,0.98286796,True
No19.jpg,NO,NO,0.7180014,True
No20.jpg,NO,NO,0.7891218,True
No21.jpg,NO,NO,0.9994448,True
No22.jpg,NO,NO,0.99275136,True
Y62.jpg,YES,YES,0.96462923,True
Y65.JPG,YES,YES,0.9923794,True
Y66.JPG,YES,YES,0.89655,True
Y67.JPG,YES,NO,0.5250385,False
Y69.jpg,YES,YES,0.98509985,True
Y7.jpg,YES,YES,0.9882719,True
Y70.jpg,YES,YES,0.9949227,True
Y71.JPG,YES,YES,0.6104786,True
Y73.jpg,YES,YES,0.9889181,True
Y74.jpg,YES,YES,0.98480994,True
Y75.JPG,YES,YES,0.99867874,True
Y76.jpg,YES,YES,0.9830747,True
Y77.jpg,YES,YES,0.98952824,True
Y78.jpg,YES,YES,0.9645207,True
Y79.jpg,YES,YES,0.9884062,True
Y8.jpg,YES,YES,0.7564836,True
Y81.jpg,YES,YES,0.9479945,True
Y82.jpg,YES,YES,0.94749796,True
Y85.JPG,YES,NO,0.7121472,False
Y86.JPG,YES,YES,0.9937894,True
Y89.JPG,YES,YES,0.8352248,True
Y9.jpg,YES,YES,0.95929444,True
Y90.jpg,YES,NO,0.9526478,False
Y91.jpg,YES,YES,0.91490144,True
Y92.jpg,YES,YES,0.95952964,True
Y92.png,YES,YES,0.96520096,True
Y95.jpg,YES,YES,0.89351755,True
Y96.jpg,YES,YES,0.9734311,True
Y97.JPG,YES,YES,0.8902142,True
Y98.JPG,YES,YES,0.84465283,True
Y99.JPG,YES,YES,0.835198,True
